case_id,question_number,question,user_answer,expected_rating,notes,prompt_variant,llm_model,final_score,rating,correctness_subscore,completeness_subscore,clarity_subscore,correctness,completeness,clarity,strengths,improvement
13,179,Create an AI that can play a complex board game at a competitive level.,You can build a board game AI with a basic if-else script and it will be competitive.,1,Incorrect answer,prompt_c_penalty,gpt-5-nano,0.3333333333333333,2,0,0,2,"The candidate asserts that a basic if-else script can be competitive for a complex board game, which is technically incorrect. Competitive board-game AIs typically require search (e.g., Monte Carlo Tree Search), evaluation functions, and learning (RL/ DL) to generalize across states; an if-else script cannot scale or perform well against strong opponents.","The answer omits the central concepts required for competitive play (search algorithms, evaluation, learning, generalization). It provides no plan, no justification, and no discussion of how to handle complexity, planning depth, or learning from experience.","The statement is clear and direct, but it makes an incorrect claim. It communicates a belief without ambiguity, though the assertion is misleading.",Concise and direct statement | Easy to understand what the candidate believes,"Explain why simple approaches fail on complex board games and outline the necessary techniques (e.g., MCTS, value networks, RL, self-play). | Provide a concrete plan or architecture sketch, including how to evaluate performance, compute resources, and milestones. | Discuss game-specific considerations (state representation, action space, evaluation function, exploration vs exploitation). | Avoid overpromising; acknowledge limits of simple methods and propose a realistic trajectory toward competitive performance."
14,42,Explain the difference between HTTP and HTTPS.,HTTP and HTTPS are basically the same thing.,1,Incorrect answer,prompt_a_simple,gpt-5-nano,0.16666666666666666,1,0,0,1,"Claims there is no difference between HTTP and HTTPS, which is incorrect because HTTPS uses TLS/SSL to encrypt data in transit and provides server authentication via certificates.","Gives no explanation of the differences, security benefits, or practical implications (e.g., ports, certificates, handshake).",The statement is clear but misleading; it states a false equivalence and lacks explanation.,Concise and directly communicates a position. | Uses plain language without jargon.,"Explain the actual differences: HTTPS uses TLS/SSL to encrypt in transit, authenticates the server with certificates, and changes default port (443 vs 80). | Mention security benefits and common misconceptions, along with any trade-offs (e.g., slight performance overhead, certificate management). | Provide an example or analogy to distinguish confidentiality, integrity, and authentication."
14,42,Explain the difference between HTTP and HTTPS.,HTTP and HTTPS are basically the same thing.,1,Incorrect answer,prompt_b_strict,gpt-5-nano,0.16666666666666666,1,0,0,1,"The candidate claims HTTP and HTTPS are basically the same, which ignores that HTTPS uses TLS/SSL to encrypt data in transit and authenticate the server; HTTPS is not the same as HTTP.","The answer omits the core concept of encryption, TLS/SSL, certificates, and the security advantages HTTPS provides over HTTP.","The statement is clear and easy to understand, but it is factually incorrect and omits the key security difference.",Concise: communicates a direct claim in a single sentence.,"Explain that HTTPS uses TLS/SSL to encrypt data in transit and authenticate the server. | Mention certificate-based authentication, port 443 vs 80, and the difference in security guarantees. | Provide a simple example: https:// vs http:// and the implication for man-in-the-middle protection."
14,42,Explain the difference between HTTP and HTTPS.,HTTP and HTTPS are basically the same thing.,1,Incorrect answer,prompt_c_penalty,gpt-5-nano,0.16666666666666666,1,0,0,1,"The candidate claims HTTP and HTTPS are basically the same, which is false. HTTPS adds TLS/SSL encryption to HTTP, providing confidentiality and integrity.","The answer omits the core difference (encryption via TLS/SSL, certificates, authentication). It does not mention port 443, or the handshake, etc.",The statement is clear but misleading and incorrect; it conveys the wrong conclusion rather than an explanation.,Very concise statement; communicates a simple position quickly.,"Explain the difference: HTTP is plaintext, HTTPS is HTTP over TLS/SSL; include encryption, authentication via certificates; mention ports (80 vs 443), TLS handshake, and practical benefits."
15,52,Explain the difference between black-box and white-box testing.,The difference between black-box and white-box testing.,1,Question restatement,prompt_a_simple,gpt-5-nano,0.16666666666666666,1,0,0,1,No factual content; no definitions or distinctions provided beyond restating the topic.,"Misses definitions, differences, examples, and actionable explanation.",Only a fragment that mentions the topic; not an explanation. Lacks actual content to be clear.,Acknowledges the topic and intent to discuss the difference.,"Provide definitions: Black-box testing = testing without code knowledge, based on requirements; White-box testing = testing with visibility into code, focusing on internal logic. | Explain what is tested: functionality vs code paths, branches, conditions, data flow. | Mention techniques: equivalence partitioning, boundary value analysis for black-box; coverage criteria, statement/branch coverage for white-box. | Provide examples: e.g., test a login function with valid/invalid inputs vs test path through authentication code. | Discuss when to use each: integration/functional tests vs unit/integration/secure code testing. | Clarify differences in test design, responsibilities, and tool support."
15,52,Explain the difference between black-box and white-box testing.,The difference between black-box and white-box testing.,1,Question restatement,prompt_b_strict,gpt-5-nano,0.0,1,0,0,0,No factual content; only restates the prompt.,Fails to explain the difference or provide any main ideas.,Restates the question; not a clear answer.,,Provide clear definitions of black-box vs white-box testing. | Give concrete examples and contrast how they exercise software. | Mention use cases and when to apply each. | Explain how they relate to test coverage metrics.
15,52,Explain the difference between black-box and white-box testing.,The difference between black-box and white-box testing.,1,Question restatement,prompt_c_penalty,gpt-5-nano,0.0,1,0,0,0,The answer provides no content distinguishing black-box from white-box testing; it merely repeats the prompt without explanation.,"No central concepts are explained; missing definitions, contrasts, and examples of both testing approaches.","The response is merely a phrase and not an explanation, making it unclear what is being claimed.",,"Give concise definitions for both black-box and white-box testing. | Explain the key difference: black-box tests rely on inputs/outputs without inspecting code, while white-box tests inspect internal structure and paths. | Provide examples and typical techniques (e.g., equivalence partitioning, boundary testing for black-box; branch/statement coverage for white-box). | Discuss when to use each approach and potential trade-offs (requirement validation vs code safety). | Avoid restating the question; focus on delivering content."
16,104,How would you optimize a website's load time?,How would you optimize a website's load time?,1,Question restatement,prompt_a_simple,gpt-5-nano,0.0,1,0,0,0,Candidate did not provide an answer to the question.,No optimization techniques or rationale were presented.,Response was a restatement of the question rather than an answer; no content to assess clarity.,,"Give a structured answer outlining an end-to-end approach to load-time optimization. | Include measurable goals and metrics (e.g., First Contentful Paint, Time to Interactive, Largest Contentful Paint) and how to measure them (Lighthouse, WebPageTest, browser DevTools). | Present a concrete set of techniques: minimize HTTP requests, enable compression, use caching strategies and proper cache headers, leverage CDNs, optimize images and fonts, enable code-splitting and lazy loading, defer non-critical JS/CSS, consider server optimizations (HTTP/2/3, TLS) and critical rendering path improvements. | Explain the workflow: audit → identify bottlenecks → implement changes → test across devices/net conditions → monitor in production. | Discuss trade-offs and considerations (mobile vs desktop, network variability, accessibility, SEO, and maintainability) and how you validate improvements."
16,104,How would you optimize a website's load time?,How would you optimize a website's load time?,1,Question restatement,prompt_b_strict,gpt-5-nano,0.0,1,0,0,0,The candidate did not present any optimization ideas; answer is just restating the question.,"No optimization concepts discussed; missing essential content like reducing requests, caching, CDNs, compression.","The response is a restatement, not a clear answer; it is not actionable.",,"Provide concrete optimization techniques (e.g., min HTTP requests, enable compression, use CDNs, caching, lazy loading, image optimization). | Explain how to measure impact (core web vitals, Lighthouse, RUM). | Give example steps or a plan (audit, implement, monitor)."
16,104,How would you optimize a website's load time?,How would you optimize a website's load time?,1,Question restatement,prompt_c_penalty,gpt-5-nano,0.0,1,0,0,0,"No technical content provided; the candidate only repeats the question, which does not demonstrate correctness.",Misses central ideas and any actionable techniques for optimizing load time.,Response is a direct restatement of the question and offers no helpful guidance; it is understandable but not informative.,,"Provide concrete optimization techniques (e.g., minimize HTTP requests, use a CDN, enable compression with gzip/Brotli, implement caching with appropriate headers, minify assets, optimize images, enable lazy loading, and optimize the critical rendering path). | Explain how you would measure impact (e.g., Lighthouse metrics like FCP, LCP, TTI; real user metrics), and outline a plan with steps to implement and validate changes."
17,23,What is a RESTful API?,I don't know what RESTful API is.,1,Explicit non-answer,prompt_a_simple,gpt-5-nano,0.0,1,0,0,0,"No definition provided; does not mention HTTP methods, resources, or REST principles.","Misses core elements: resources, CRUD via HTTP methods, stateless client-server architecture, URIs, and typical REST constraints.",Response is simply a negation with no informative content or structure.,Honest about knowledge gap | Shows willingness to acknowledge uncertainty,"If uncertain, provide a high-level definition or ask to clarify, e.g., 'RESTful API is an API using HTTP methods to manipulate resources identified by URIs, following stateless client-server architecture.' | Prepare a concise 1-2 sentence definition and a quick example (e.g., GET /users to fetch users) to demonstrate baseline knowledge | Highlight key REST constraints (statelessness, uniform interface, resource-based URIs) and common methods (GET, POST, PUT, DELETE) in future answers"
17,23,What is a RESTful API?,I don't know what RESTful API is.,1,Explicit non-answer,prompt_b_strict,gpt-5-nano,0.16666666666666666,1,0,0,1,No definition or correct content provided; the candidate merely states lack of knowledge.,"Misses the main concept entirely; does not describe RESTful API, HTTP methods, resources, or statelessness.",Clear and easy to understand statement indicating lack of knowledge.,Honest about knowledge gap.,"Provide a concise definition of RESTful API (e.g., a web service using HTTP to perform CRUD on resources). | Explain core constraints: statelessness, client-server architecture, and uniform interface. | Describe how CRUD maps to HTTP methods (GET, POST, PUT/PATCH, DELETE) and the use of resource URIs. | Offer a brief example or analogy to solidify understanding."
17,23,What is a RESTful API?,I don't know what RESTful API is.,1,Explicit non-answer,prompt_c_penalty,gpt-5-nano,0.3333333333333333,2,0,0,2,Candidate states they don't know RESTful API; this is incorrect relative to the question and provides no correct information.,No content about RESTful API; central concept not conveyed.,Statement is clear and direct about lack of knowledge.,Honest about not knowing the concept.,"Provide a concise definition of RESTful API (e.g., a web service using HTTP methods to perform CRUD on resources, following stateless client-server architecture). | If uncertain, offer to describe what you know and ask to discuss key REST constraints (statelessness, resource-based URLs, standard HTTP methods)."
18,179,Create an AI that can play a complex board game at a competitive level.,I don't know how to create an AI that can play a complex board game at a competitive level.,1,Explicit non-answer,prompt_a_simple,gpt-5-nano,0.3333333333333333,2,0,0,2,"No technical content or correct approach provided; candidate did not mention valid techniques (e.g., Monte Carlo Tree Search, reinforcement learning, neural networks).","Answer does not describe any plan, steps, or techniques to build a competitive AI; lacks depth or actionable details.","Statement is clear and unambiguous, though it is not informative.",Honest about current knowledge.,"If lacking knowledge, propose a high-level plan and key techniques (e.g., MCTS, RL, supervised learning for board evaluation, search, and training loops). | Outline a starter project or learning path with milestones (research relevant literature, implement a minimal agent for a simple game, gradually scale to complexity). | Ask clarifying questions about the target game, constraints, and available resources to tailor a concrete approach."
18,179,Create an AI that can play a complex board game at a competitive level.,I don't know how to create an AI that can play a complex board game at a competitive level.,1,Explicit non-answer,prompt_b_strict,gpt-5-nano,0.16666666666666666,1,0,0,1,No algorithmic approach or techniques were provided; answer is essentially a negative stance rather than a solution.,"Misses the main ideas and techniques typically used for competitive board-game AIs (e.g., Monte Carlo Tree Search, reinforcement learning, self-play).","Clear and unambiguous about the lack of knowledge, but it provides no actionable content.",Honest acknowledgment of knowledge gap | Concise and easy to understand.,"Provide a high-level plan or outline for building an AI to play a board game (e.g., outline architecture using Monte Carlo Tree Search, neural networks, and reinforcement learning). | Describe the core components: game engine interface, search algorithm, function approximator, and training loop (self-play, data generation, and evaluation). | Mention practical considerations such as data requirements, compute costs, evaluation metrics, and potential pitfalls (generalization, overfitting). | Offer at least a minimal pseudo-code or bullet-point plan to demonstrate understanding of the solution."
18,179,Create an AI that can play a complex board game at a competitive level.,I don't know how to create an AI that can play a complex board game at a competitive level.,1,Explicit non-answer,prompt_c_penalty,gpt-5-nano,0.3333333333333333,2,0,0,2,No technical content or correct approach is provided. The candidate only states a lack of knowledge without offering any viable technique or plan.,"Misses the central concept entirely; no outline of methods, architecture, or steps to build an AI for a complex board game.","The statement is clear and direct, and easy to understand.",Honest admission of a knowledge gap. | Concise and straightforward response.,"Provide a high-level approach mentioning common techniques (e.g., Monte Carlo Tree Search, deep learning, reinforcement learning) and why they suit board-game AI. | Outline a minimal architecture and steps: search algorithm, evaluation function, training loop, data collection, and evaluation strategy. | Discuss practical considerations such as exploration vs. exploitation, computation budget, sample efficiency, and generalization across different board games."
19,42,Explain the difference between HTTP and HTTPS.,testing,1,Meaningless answer,prompt_a_simple,gpt-5-nano,0.0,1,0,0,0,"The candidate did not address the question; no explanation about HTTP vs HTTPS, TLS/SSL, or encryption.","No content beyond a single word. Fails to provide distinctions, mechanisms, or examples.",Answer is a non sequitur and not understandable as an answer to the question.,,"Provide a direct comparison: HTTP is unsecured; HTTPS uses TLS/SSL to encrypt in transit. | Explain key components: TLS handshake, certificates, and CA validation. | Mention practical details: default ports (80 for HTTP, 443 for HTTPS), and that HTTPS authenticates the server and ensures data integrity and confidentiality. | Note security implications: protection against eavesdropping, tampering, and man-in-the-middle attacks; discuss when to use HTTPS and potential pitfalls (mixed content, certificate errors)."
19,42,Explain the difference between HTTP and HTTPS.,testing,1,Meaningless answer,prompt_b_strict,gpt-5-nano,0.0,1,0,0,0,"The candidate did not answer the question; no mention of HTTP/HTTPS, security, or encryption.",Misses the main concept; no description of HTTP as unsecured and HTTPS as TLS encryption.,The response is a single unrelated word and provides no explanation; not understandable as an answer.,,"Provide a concise explanation of HTTP vs HTTPS, focusing on security and encryption. | Mention that HTTP transmits in plaintext and HTTPS uses TLS/SSL to encrypt data in transit. | Note differences like ports (80 vs 443) and certificate-based authentication. | Provide a simple example or analogy to help comprehension."
19,42,Explain the difference between HTTP and HTTPS.,testing,1,Meaningless answer,prompt_c_penalty,gpt-5-nano,0.0,1,0,0,0,Candidate answer does not address HTTP vs HTTPS and provides no technical content or distinction.,"Misses central concepts (plaintext HTTP vs TLS/SSL encryption in HTTPS, certificates, ports, handshake, and trust).",Response is a single token with no explanatory content; not understandable as an answer.,,"Explain that HTTP is plaintext and HTTPS uses TLS/SSL to encrypt data in transit. | Mention default ports (80 for HTTP, 443 for HTTPS). | Describe the role of certificates and certificate authorities, and the TLS handshake. | Highlight why encryption matters for confidentiality and integrity, and note any basic trade-offs (latency, certificate management)."
20,160,Design a scalable notification system for a social network.,Design a scalable notification system for a social network.,1,Meaningless restatement,prompt_a_simple,gpt-5-nano,0.0,1,0,0,0,No design details are provided to assess correctness.,"Answer contains only the prompt with no architecture, data models, workflows, or scalability considerations.","Response is basically a restatement of the task with no explanation or structure, so it lacks clarity.",,"Provide a concrete high-level architecture with component responsibilities (API layer, Notification Service, worker pool, message queue, and delivery channels). | Explain push vs pull model decisions and outline an event-driven flow using a queue or pub-sub system. | Describe the data model for notifications (id, user_id, type, payload, status, timestamps) and sensible indexing/partitioning strategies. | Detail handling of peak loads: asynchronous processing, backpressure, batching, and autoscaling. | Discuss database optimization: indexing on user_id/status, partitioning by time, and TTL for old notifications. | Explain message queuing choices (Kafka/SQS/RabbitMQ), deduplication, idempotency keys, retries, and dead-letter queues. | Outline delivery pipelines per channel (in-app, push, email) and channel-specific considerations (tokens, expirations, failures). | Include observability: metrics, tracing, logging, alerting; and a testing strategy (load tests, chaos testing, and canary deployments)."
20,160,Design a scalable notification system for a social network.,Design a scalable notification system for a social network.,1,Meaningless restatement,prompt_b_strict,gpt-5-nano,0.0,1,0,0,0,Answer contains no technical content; it merely restates the prompt without proposing any design decisions or details.,"No main concepts are addressed (e.g., architecture, push/pull models, queues, scaling, data models).",Statement is a restatement and does not provide any explanation or structure; unclear.,No substantive content provided.,"Provide an end-to-end design outline: components (publisher service, delivery workers, queues, storage), data model, and API contracts. | Discuss push vs. pull delivery models and trade-offs for different devices (mobile vs web). | Explain handling peak loads with autoscaling, backpressure, and load shedding. | Describe message queues, idempotency, exactly-once delivery considerations, and retry strategies. | Address data consistency, privacy, and rate limiting; provide performance considerations and monitoring metrics."
20,160,Design a scalable notification system for a social network.,Design a scalable notification system for a social network.,1,Meaningless restatement,prompt_c_penalty,gpt-5-nano,0.0,1,0,0,0,The answer contains only the prompt and no technical content or design decisions to assess correctness.,"Misses the central concept of designing the system; provides no architecture, data flows, or delivery guarantees.",The response is indistinguishable from the question and offers no actionable information.,,"Provide a concrete architectural overview (e.g., notification service, event ingestion, user/device registry, and queues) with components and interactions. | Describe data models for notifications, per-user queues, and device tokens; include schemas or key fields. | Explain delivery models (push vs pull), fan-out strategies, and use of a message broker (e.g., Kafka, Pulsar) with a scalable queueing layer. | Address scalability concerns: handling peak load, backpressure, partitioning, rate limiting, and shard strategy. | Clarify delivery guarantees (at-least-once, exactly-once) and how idempotency is ensured to avoid duplicates. | Outline failure handling and observability: DLQs, retries, deadlines, metrics, tracing, and alerting. | Discuss multi-channel support (push, in-app, email), token lifecycle, security/privacy considerations, and channel-specific constraints."
